SMC;Humusform;HumusformCode;OTh_plot;OTh_pit;SoilType;North;East
Mesic;Mor (type 1);1;8;10;Podzol;7133204.258;731611.094
Mesic-moist;Peat;7;32.1;32.7;Regosol;7133233.652;731928.777
Mesic;Mor (type 1);1;5.4;4.5;Regosol;7134281.092;730882.544
Mesic;Mor (type 1);1;6;8;Cambrisol;7132877.314;732632.972
Mesic;Mor (type 1);1;8.9;8.3;Regosol;7133931.24;729830.999
Mesic-moist;Mor (type 1);1;9.6;6.7;Podzol;7132880.565;731935.495
Mesic;Mor (type 1);1;11.1;15;Regosol;7132535.864;731928.16
Mesic-moist;Peat;7;23;34;Gleysol;7133583.53;730879.925
Mesic;Mor (type 1);1;7.2;4.2;Podzol;7133586.555;731226.988
Mesic;Mor (type 1);1;6.8;8.3;Podzol;7134280.982;727730.294
Mesic-moist;Peaty Mor;6;13.2;14;Regosol;7132529.63;731581.177
Mesic;Mor (type 1);1;5.7;6.7;Podzol;7132883.287;731578.159
Mesic;Mor (type 1);1;4;2.8;Podzol;7129032.972;730878.313
Mesic;Mor (type 1);1;17.2;10.7;Gleysol;7133232.641;733680.573
Mesic;Mor (type 1);1;8.3;5.8;Podzol;7133225.33;734040.027
Mesic;Mor (type 1);1;3.1;2.1;Podzol;7129381.574;730876.914
Mesic;Mor (type 1);1;5.2;2.4;Podzol;7133581.407;734031.549
Mesic;Mor (type 1);1;5.5;3.5;Podzol;7133581.272;733677.059
Mesic;Mor (type 1);1;5.2;6.3;Arenosol;7131834.472;730871.567
Mesic;Mor (type 1);1;6.2;8.7;Arenosol;7131831.51;731228.335
Mesic;Mor (type 1);1;2.8;5;Podzol;7137432.458;735081.485
Mesic;Mor (type 1);1;4.3;5.2;Podzol;7129731.424;730531.668
Mesic;Mor (type 1);1;4;4.3;Regosol;7129730.865;730177.102
Mesic;Mor (type 1);1;4.4;3.8;Podzol;7130082.7;730176.519
Mesic;Mor (type 1);1;6.1;6;Podzol;7130079.839;730528.453
Dry;Mor (type 1);1;2.9;1.8;Arenosol;7131478.449;730527.381
Mesic;Mor (type 1);1;5.8;9;Regosol;7136377.364;734028.728
Mesic;Mor (type 1);1;4.6;9.3;Podzol;7136029.457;734032.198
Wet;Peaty Mor;6;20.5;25;Gleysol;7136039.815;733667.87
Mesic;Mor (type 1);1;7.6;5.7;Arenosol;7131132.309;730177.252
Mesic;Mor (type 1);1;5.9;5.3;Regosol;7137077.845;729133.044
Mesic;Mor (type 1);1;5.5;7.7;Podzol;7136729.575;729131.774
Mesic;Mor (type 1);1;4.5;3.7;Podzol;7133230.338;736482.569
Mesic;Mor (type 2);2;8.4;6.7;Podzol;7133583.721;736483.503
Moist;Peat;7;42;43;Histosol;7134280.582;730530.428
Mesic;Mor (type 1);1;6.8;9;Podzol;7133931.857;730176.628
Mesic-moist;Peaty Mor;6;22.7;24;Regosol;7133936.654;730530.531
Mesic;Mor (type 1);1;7.6;5.5;Arenosol;7131486.775;731578.015
Mesic;Mor (type 1);1;5.2;7;Arenosol;7131482.309;731930.188
Mesic;Mor (type 1);1;6.2;6;Arenosol;7131128.669;731584.864
Mesic;Mor (type 1);1;6.8;7.7;Arenosol;7131132.483;731931.373
Mesic;Mor (type 1);1;5.2;6.7;Podzol;7134288.462;732975.964
Mesic;Mor (type 1);1;4.8;7.5;Podzol;7133933.131;732984.2
Mesic;Mor (type 1);1;7.5;5.3;Podzol;7134283.302;733329.635
Mesic;Mor (type 1);1;10.8;7;Regosol;7133927.866;733329.217
Mesic;Mor (type 1);1;4.9;4.5;Podzol;7134635.787;731226.406
Mesic;Mor (type 1);1;8.1;8.7;Podzol;7134986.681;731229.118
Mesic;Mor (type 1);1;4.2;3.7;Podzol;7134983.58;730882.686
Mesic;Mor (type 1);1;5.5;5;Podzol;7134632.302;730885.808
Dry;Mor (type 1);1;4.4;10;Podzol;7136387.285;730877.076
Mesic;Mor (type 1);1;11.9;3;Podzol;7136035.145;730879.434
Mesic;Mor (type 1);1;6.7;6.7;Podzol;7136027.225;731228.928
Mesic;Mor (type 1);1;5.1;7;Leptosol;7129731.898;733327.195
Mesic;Mor (type 1);1;7.2;7.7;Podzol;7129729.477;732980.373
Mesic;Mor (type 1);1;6.5;7.3;Podzol;7130084.585;732980.328
Mesic;Mor (type 1);1;8.2;4.8;Podzol;7130083.168;733329.549
Mesic;Mor (type 1);1;3.6;5;Podzol;7135332.129;734378.53
Mesic;Mor (type 1);1;6.9;7;Podzol;7135682.362;734378.529
Mesic;Mor (type 1);1;6.6;4.7;Podzol;7135678.624;734732.261
