SampleDepth;cN;cC;C.N.ratio;North;East
0;0.97;28.23;29.1;7129028.4;733681.35
0;0.87;38.35;44.1;7134983.541;735086.565
0;1.17;41.23;35.2;7133577.408;728431.301
0;1.09;45.76;42;7129031.449;734029.522
0;0.8;24.66;30.8;7129032.622;735083.226
0;1.33;47.4;35.6;7130431.181;731229.983
0;1.1;41.89;38.1;7131831.816;734030.064
0;1.17;35.16;30.1;7134626.668;735083.106
0;1.12;49.5;44.2;7133936.654;730530.531
0;1.25;50.51;40.4;7138131.973;731579.353
0;1.32;46.8;35.5;7134981.553;728430.897
0;0.95;31.12;32.8;7130431.944;732283.39
0;1.36;43.67;32.1;7129384.303;735432.324
0;0.82;36.08;44;7129382.184;735081.428
0;1.15;40.46;35.2;7136039.815;733667.87
0;0.67;21.2;31.6;7134633.167;733677.66
0;0.78;31.78;40.7;7133930.646;728783.227
0;1.09;43.44;39.9;7134630.07;729477.999
0;1.3;49.07;37.7;7128680.029;734376.634
0;0.82;41.55;50.7;7129381.348;733683.208
0;1.38;47.98;34.8;7134633.8;728432.239
0;0.85;29.83;35.1;7130431.052;735079.63
0;0.87;33.6;38.6;7131831.488;729827.603
0;1.21;41.97;34.7;7130778.194;735431.235
0;0.62;26.3;42.4;7129729.396;734729.393
0;0.74;27.63;37.3;7132183.145;733679.468
0;0.95;37.73;39.7;7131477.171;734379.544
0;0.56;18.47;33;7130430.452;733681.564
0;1.19;45.17;38;7131479.313;733330.582
0;0.96;46.57;48.5;7129729.477;732980.373
0;1.41;48.6;34.5;7134280.582;730530.428
0;1.36;46.11;33.9;7134280.652;735778.924
0;0.92;27.31;29.7;7130079.688;734728.667
0;1.41;44.17;31.3;7137786.142;733676.274
0;1;26.45;26.5;7134631.245;729834.803
0;1.31;49.92;38.1;7130079.839;730528.453
0;1.03;39.63;38.5;7130082.508;731576.77
0;1.08;41.26;38.2;7134626.796;735433.169
0;1.03;43.01;41.8;7136731.25;733329.144
0;1.13;43.06;38.1;7137432.301;733678.655
0;0.86;42.69;49.6;7129730.865;730177.102
0;1.12;45.64;40.8;7134281.646;734729.937
0;1.07;40.98;38.3;7135682.362;734378.529
